,model,sequence,activationDense,optimizer,dropout1,dropout2,units,epochs,batchsize,validation_split,RMSE,MSE,MAE,Time
0,LSTM,3h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8735894560813904,0.7631585597991943,0.5354421734809875,187.65354013442993
0,LSTM,3h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9355138540267944,0.8751862049102783,0.6471013426780701,81.96568703651428
0,LSTM,3h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0744322538375854,1.154404640197754,0.8845783472061157,179.52207684516907
0,LSTM,3h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1155836582183838,1.2445268630981445,0.9282112717628479,79.24483799934387
0,LSTM,3h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5810142755508423,0.33757761120796204,0.1803562194108963,183.25079369544983
0,LSTM,3h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5802788138389587,0.3367235064506531,0.18000547587871552,80.3897271156311
0,LSTM,3h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7550254464149475,0.5700634121894836,0.5020501613616943,184.46612906455994
0,LSTM,3h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7550351619720459,0.5700780749320984,0.5040897727012634,79.56351470947266
0,LSTM,6h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.634406328201294,0.4024713933467865,0.22675687074661255,442.22993898391724
0,LSTM,6h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.613669753074646,0.3765905797481537,0.2108970284461975,134.29966068267822
0,LSTM,6h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.808170735836029,0.6531399488449097,0.541726291179657,440.38399744033813
0,LSTM,6h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7819926142692566,0.6115124225616455,0.5230960249900818,135.72730016708374
0,LSTM,6h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8062077760696411,0.6499709486961365,0.44650232791900635,441.71819138526917
0,LSTM,6h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9865842461585999,0.9733484983444214,0.6987292766571045,132.74413561820984
0,LSTM,6h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.065018892288208,1.1342651844024658,0.873460590839386,443.73863768577576
0,LSTM,6h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1166455745697021,1.2468972206115723,0.9290876388549805,137.9662766456604
0,LSTM,6h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.6026501655578613,0.36318719387054443,0.2028089165687561,415.0670449733734
0,LSTM,6h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5907223224639893,0.34895288944244385,0.20705929398536682,127.3875629901886
0,LSTM,6h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7574887871742249,0.5737892985343933,0.5114513039588928,414.16626811027527
0,LSTM,6h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7636657357215881,0.5831853151321411,0.5182739496231079,125.61718106269836
0,LSTM,12h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8349613547325134,0.6971604228019714,0.3577854633331299,794.231693983078
0,LSTM,12h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8536944389343262,0.7287942171096802,0.3556390404701233,231.65903115272522
0,LSTM,12h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8701810240745544,0.7572149634361267,0.5902824401855469,796.5217626094818
0,LSTM,12h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8397400379180908,0.7051633596420288,0.5675576329231262,243.15848755836487
0,LSTM,12h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7951050400733948,0.6321920156478882,0.4307170510292053,799.7367260456085
0,LSTM,12h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9645369648933411,0.9303315281867981,0.6699420213699341,245.54612040519714
0,LSTM,12h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0514020919799805,1.105446457862854,0.8563747406005859,797.0529072284698
0,LSTM,12h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1108936071395874,1.2340844869613647,0.9228633642196655,244.50229263305664
0,LSTM,12h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8336867094039917,0.6950335502624512,0.3466264307498932,803.3064453601837
0,LSTM,12h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7866230010986328,0.6187757849693298,0.31585684418678284,246.59963583946228
0,LSTM,12h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8522546291351318,0.7263379096984863,0.5721238851547241,809.4667508602142
0,LSTM,12h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.822997510433197,0.6773248910903931,0.564685046672821,247.14954662322998
0,LSTM,1d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8836434483528137,0.7808257937431335,0.4031517505645752,1539.680047750473
0,LSTM,1d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8768032193183899,0.7687839269638062,0.4015129804611206,461.9719235897064
0,LSTM,1d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0048954486846924,1.0098148584365845,0.7133502960205078,1539.5536215305328
0,LSTM,1d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9548481106758118,0.911734938621521,0.6863549947738647,457.72136425971985
0,LSTM,1d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8565623760223389,0.7336990833282471,0.49097663164138794,1547.029044866562
0,LSTM,1d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.975641131401062,0.951875627040863,0.6743343472480774,460.52639174461365
0,LSTM,1d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0607569217681885,1.1252052783966064,0.8661817312240601,1541.8392975330353
0,LSTM,1d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1097837686538696,1.231619954109192,0.9209735989570618,460.13913679122925
0,LSTM,1d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8761020302772522,0.7675548195838928,0.4061729609966278,1547.7490448951721
0,LSTM,1d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8676429390907288,0.7528042793273926,0.40088891983032227,460.0937395095825
0,LSTM,1d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9594359993934631,0.9205173850059509,0.6673373579978943,1528.9490535259247
0,LSTM,1d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9180666208267212,0.8428463339805603,0.6252034902572632,459.6406066417694
0,LSTM,3d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0442897081375122,1.090540885925293,0.6160777807235718,4198.491082668304
0,LSTM,3d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.012744426727295,1.025651216506958,0.5609679222106934,1254.0413279533386
0,LSTM,3d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9951698184013367,0.9903629422187805,0.6929639577865601,4246.793601036072
0,LSTM,3d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9951949715614319,0.9904130697250366,0.6930468678474426,1267.4651937484741
0,LSTM,3d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9416688680648804,0.8867402672767639,0.5534079670906067,4229.341509580612
0,LSTM,3d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9533464908599854,0.9088695049285889,0.6476290225982666,1289.9682788848877
0,LSTM,3d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0604702234268188,1.1245970726013184,0.8592653870582581,4233.551719427109
0,LSTM,3d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1086243391036987,1.2290478944778442,0.9163082242012024,1260.0782957077026
0,LSTM,3d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.007028579711914,1.0141065120697021,0.5533964037895203,4212.094009399414
0,LSTM,3d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9963179230690002,0.9926494359970093,0.5478078126907349,1258.6436741352081
0,LSTM,3d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9951698184013367,0.9903629422187805,0.6929639577865601,4201.5671553611755
0,LSTM,3d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9952281713485718,0.9904791116714478,0.6931573748588562,1265.280571937561
0,LSTM,7d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.1149615049362183,1.2431391477584839,0.6330464482307434,6566.312698364258
0,LSTM,7d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1562154293060303,1.336834192276001,0.6723850965499878,2708.8113062381744
0,LSTM,7d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.019181489944458,1.0387308597564697,0.6954237222671509,6620.891446590424
0,LSTM,7d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0192430019378662,1.0388563871383667,0.6955598592758179,2639.207366466522
0,LSTM,7d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.1032394170761108,1.2171372175216675,0.6403053402900696,6600.593079566956
0,LSTM,7d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0114634037017822,1.023058295249939,0.6816348433494568,2678.760439157486
0,LSTM,7d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0735324621200562,1.1524720191955566,0.8446336984634399,6823.556005239487
0,LSTM,7d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1337414979934692,1.285369873046875,0.9241316914558411,2782.560327529907
0,LSTM,7d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.149717926979065,1.3218512535095215,0.6666900515556335,6629.472941875458
0,LSTM,7d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1887487173080444,1.4131234884262085,0.7248538136482239,2701.564010620117
0,LSTM,7d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.019181489944458,1.0387308597564697,0.6954236626625061,6619.18386220932
0,LSTM,7d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.01926589012146,1.0389028787612915,0.695633590221405,2611.783912420273
0,GRU,1h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5747098326683044,0.33029142022132874,0.16955310106277466,84.43638944625854
0,GRU,1h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.573611319065094,0.32902991771698,0.15738661587238312,43.191447257995605
0,GRU,1h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7564752101898193,0.5722547769546509,0.4937024712562561,82.23852682113647
0,GRU,1h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7567038536071777,0.5726007223129272,0.4937550723552704,45.2899649143219
0,GRU,1h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8778080344200134,0.7705469131469727,0.5706932544708252,80.02521181106567
0,GRU,1h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.94172203540802,0.8868404030799866,0.6571897268295288,42.630512952804565
0,GRU,1h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0684599876403809,1.1416066884994507,0.8798425197601318,80.19839143753052
0,GRU,1h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1142691373825073,1.2415956258773804,0.926726758480072,44.818156480789185
0,GRU,1h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5767017006874084,0.33258485794067383,0.17605437338352203,81.51253342628479
0,GRU,1h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5749606490135193,0.3305797576904297,0.1637781262397766,42.36288595199585
0,GRU,1h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7503783702850342,0.5630676746368408,0.49320295453071594,81.205246925354
0,GRU,1h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7501521706581116,0.5627282857894897,0.49282360076904297,44.59614324569702
0,GRU,3h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.6040235161781311,0.3648444414138794,0.19214951992034912,157.61947011947632
0,GRU,3h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5977219343185425,0.3572715222835541,0.1849687099456787,82.41637229919434
0,GRU,3h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7646335363388062,0.5846644043922424,0.5074802041053772,158.30796456336975
0,GRU,3h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7667505741119385,0.5879064798355103,0.5062737464904785,84.3237042427063
0,GRU,3h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7825393676757812,0.6123678684234619,0.4463391900062561,157.76559209823608
0,GRU,3h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.942815363407135,0.8889007568359375,0.6546669602394104,81.83752202987671
0,GRU,3h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0507969856262207,1.104174256324768,0.860469400882721,158.44966626167297
0,GRU,3h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1050182580947876,1.2210652828216553,0.9182873964309692,82.48642182350159
0,GRU,3h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.5788043141365051,0.3350144028663635,0.17782235145568848,157.90851163864136
0,GRU,3h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5798132419586182,0.3361833989620209,0.18155024945735931,82.28378868103027
0,GRU,3h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7618246674537659,0.5803768634796143,0.5022889971733093,158.036141872406
0,GRU,3h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7581832408905029,0.5748417973518372,0.5006222724914551,82.04746532440186
0,GRU,6h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.6384785175323486,0.4076547920703888,0.25202515721321106,501.45494747161865
0,GRU,6h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.6201925873756409,0.38463881611824036,0.21265380084514618,148.31544280052185
0,GRU,6h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8088261485099792,0.6541997194290161,0.54233318567276,498.457377910614
0,GRU,6h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8133687973022461,0.661568820476532,0.5374578833580017,146.09937977790833
0,GRU,6h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7661423683166504,0.5869741439819336,0.42958614230155945,497.1685929298401
0,GRU,6h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9223736524581909,0.8507731556892395,0.6342403292655945,146.48808813095093
0,GRU,6h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.025194525718689,1.0510237216949463,0.8344171047210693,493.7741816043854
0,GRU,6h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0983514785766602,1.2063759565353394,0.9120630621910095,148.41799974441528
0,GRU,6h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.6003870964050293,0.3604646623134613,0.20516209304332733,499.63963866233826
0,GRU,6h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.5827582478523254,0.3396071791648865,0.19042862951755524,145.74998307228088
0,GRU,6h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7639787197113037,0.5836635231971741,0.50660640001297,493.329874753952
0,GRU,6h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7665104866027832,0.5875383615493774,0.5105260014533997,150.9851996898651
0,GRU,12h,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8238665461540222,0.678756058216095,0.3707926571369171,924.7728035449982
0,GRU,12h,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7978179454803467,0.6365134716033936,0.3069708049297333,272.34867572784424
0,GRU,12h,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9128483533859253,0.8332920670509338,0.6128306984901428,926.9670395851135
0,GRU,12h,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8814799785614014,0.777006983757019,0.5877425670623779,276.7366795539856
0,GRU,12h,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8482921719551086,0.7195996046066284,0.5228519439697266,930.4160780906677
0,GRU,12h,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9681854844093323,0.9373831748962402,0.6772331595420837,272.9143626689911
0,GRU,12h,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0331194400787354,1.0673357248306274,0.8403360843658447,926.9325835704803
0,GRU,12h,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1116955280303955,1.2358670234680176,0.9243007302284241,273.94239115715027
0,GRU,12h,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.7975744605064392,0.6361250281333923,0.3090670108795166,941.049516916275
0,GRU,12h,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.6088988780975342,0.3707578778266907,0.21526078879833221,274.6278533935547
0,GRU,12h,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8592082262039185,0.7382387518882751,0.575719952583313,931.0133748054504
0,GRU,12h,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.7760459184646606,0.6022472381591797,0.5319922566413879,273.1925628185272
0,GRU,1d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8935313820838928,0.7983983755111694,0.4350675344467163,1750.1785168647766
0,GRU,1d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.878797173500061,0.7722845077514648,0.3765799403190613,498.31243920326233
0,GRU,1d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0055817365646362,1.0111947059631348,0.7138809561729431,1743.939314365387
0,GRU,1d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.933769941329956,0.8719263076782227,0.6379538774490356,496.2300238609314
0,GRU,1d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8407840132713318,0.7069177627563477,0.5049769878387451,1747.803641319275
0,GRU,1d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9652178287506104,0.9316455125808716,0.6691057085990906,506.42418336868286
0,GRU,1d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0500503778457642,1.1026058197021484,0.8566142916679382,1754.0065641403198
0,GRU,1d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.115708351135254,1.244805097579956,0.9267250299453735,499.97774839401245
0,GRU,1d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.8586353063583374,0.7372546195983887,0.3813316822052002,1746.3181297779083
0,GRU,1d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.8461819887161255,0.7160239815711975,0.3544018268585205,496.63371229171753
0,GRU,1d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9354036450386047,0.8749800324440002,0.6385696530342102,1766.272943496704
0,GRU,1d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9179247617721558,0.8425858616828918,0.6278494000434875,503.6986105442047
0,GRU,3d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.995811939239502,0.9916414618492126,0.5515456199645996,4543.565344810486
0,GRU,3d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9616965651512146,0.9248602390289307,0.5307251214981079,1305.1391537189484
0,GRU,3d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9951698184013367,0.9903629422187805,0.6929639577865601,4536.104122877121
0,GRU,3d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9951748251914978,0.9903729557991028,0.6929912567138672,1328.6985881328583
0,GRU,3d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9229040145874023,0.8517518639564514,0.5616390109062195,4529.597225427628
0,GRU,3d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9984825253486633,0.9969673156738281,0.6863169074058533,1297.3414912223816
0,GRU,3d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0308090448379517,1.0625672340393066,0.8267091512680054,4554.418386936188
0,GRU,3d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1123292446136475,1.2372764348983765,0.9194567799568176,1312.5420167446136
0,GRU,3d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9929900765419006,0.9860292673110962,0.5462348461151123,4571.128044366837
0,GRU,3d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.965141773223877,0.9314985871315002,0.5395482182502747,1322.5656213760376
0,GRU,3d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,0.9951698184013367,0.9903629422187805,0.6929639577865601,4557.967628240585
0,GRU,3d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,0.9951744079589844,0.9903721213340759,0.6930073499679565,1307.531947851181
0,GRU,7d,tanh,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.1500110626220703,1.3225253820419312,0.6887017488479614,6012.78852725029
0,GRU,7d,tanh,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1773755550384521,1.3862130641937256,0.7224714159965515,2853.5444486141205
0,GRU,7d,sigmoid,adam,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.019181489944458,1.0387308597564697,0.6954236626625061,6280.207427024841
0,GRU,7d,sigmoid,adam,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0191899538040161,1.0387481451034546,0.6954537034034729,2974.136693716049
0,GRU,7d,tanh,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.072380542755127,1.1500000953674316,0.6566468477249146,6060.734648704529
0,GRU,7d,tanh,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0437746047973633,1.0894654989242554,0.7071022987365723,2801.0457088947296
0,GRU,7d,sigmoid,adadelta,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.0860978364944458,1.1796085834503174,0.8662968873977661,5809.358271121979
0,GRU,7d,sigmoid,adadelta,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1318060159683228,1.280984878540039,0.9213512539863586,2878.6958146095276
0,GRU,7d,tanh,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.1398698091506958,1.2993031740188599,0.6737582087516785,6066.962269544601
0,GRU,7d,tanh,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.1594098806381226,1.344231367111206,0.6780436635017395,2915.387079000473
0,GRU,7d,sigmoid,adamax,0.40519643149940265,0.3312343747027119,43,56,11,0.1,1.019181489944458,1.0387308597564697,0.6954236626625061,6175.698762893677
0,GRU,7d,sigmoid,adamax,0.11814836227952394,0.24325404382648977,45,43,30,0.2,1.0191997289657593,1.0387681722640991,0.6954919695854187,2818.140313386917
